max_iter,L,neighbor,k,C,H,avg_fitness,std_fitness,avg_iter,avg_time,fitness_scores
100,50,scramble_mutation_optimized,3,10,0.95,72896.67,2269.87,68.6,0.49,"[72400.0, 66600.0, 76000.0, 70900.0, 71300.0, 71700.0, 73300.0, 74100.0, 78400.0, 72200.0, 72000.0, 74700.0, 72700.0, 74800.0, 73300.0, 73400.0, 75400.0, 68600.0, 72900.0, 70800.0, 73000.0, 71700.0, 75500.0, 72300.0, 71000.0, 71400.0, 73300.0, 73200.0, 73600.0, 76400.0]"
100,50,scramble_mutation_optimized,1,10,0.9,60983.33,2972.1,38.63,0.27,"[55100.0, 67400.0, 58300.0, 61700.0, 62300.0, 64100.0, 61900.0, 58300.0, 64100.0, 59400.0, 56000.0, 58600.0, 61800.0, 60000.0, 56300.0, 64800.0, 60100.0, 62300.0, 61400.0, 63300.0, 59400.0, 59800.0, 65700.0, 58600.0, 62600.0, 61700.0, 59900.0, 66200.0, 60500.0, 57900.0]"
100,50,scramble_mutation_optimized,2,10,0.9,66180.0,3319.28,37.3,0.28,"[63200.0, 60900.0, 65500.0, 66900.0, 64900.0, 69600.0, 66500.0, 67300.0, 60200.0, 65000.0, 66500.0, 69300.0, 63000.0, 59100.0, 67400.0, 71800.0, 66300.0, 63600.0, 67200.0, 71100.0, 70000.0, 68600.0, 72200.0, 64800.0, 64600.0, 68300.0, 61000.0, 64500.0, 69400.0, 66700.0]"
100,50,scramble_mutation_optimized,3,10,0.9,67773.33,3269.35,36.67,0.28,"[70000.0, 70600.0, 67400.0, 67600.0, 67900.0, 69900.0, 70100.0, 67500.0, 70800.0, 69600.0, 66400.0, 63800.0, 73900.0, 61900.0, 68500.0, 72400.0, 72100.0, 65900.0, 66900.0, 64000.0, 66800.0, 62700.0, 69600.0, 65800.0, 68400.0, 72200.0, 70200.0, 63400.0, 66600.0, 60300.0]"
100,50,scramble_mutation_optimized,1,100,0.99,68346.67,2630.43,91.3,0.66,"[68100.0, 69500.0, 67900.0, 68200.0, 69200.0, 70300.0, 72800.0, 66600.0, 63300.0, 70400.0, 70000.0, 73500.0, 66400.0, 70500.0, 67700.0, 70600.0, 66000.0, 67900.0, 70600.0, 65100.0, 67200.0, 66600.0, 66400.0, 70300.0, 63300.0, 72600.0, 66000.0, 70300.0, 64000.0, 69100.0]"
100,50,scramble_mutation_optimized,2,100,0.99,72993.33,2194.98,91.37,0.67,"[69800.0, 72600.0, 74200.0, 70900.0, 71000.0, 76000.0, 77200.0, 72600.0, 74300.0, 76500.0, 72700.0, 72700.0, 71500.0, 72500.0, 72700.0, 75600.0, 69800.0, 68900.0, 72900.0, 72600.0, 75200.0, 71500.0, 71400.0, 70300.0, 74100.0, 74200.0, 75000.0, 75400.0, 75800.0, 69900.0]"
100,50,scramble_mutation_optimized,3,100,0.99,73553.33,2120.49,91.87,0.7,"[75900.0, 73100.0, 69500.0, 72900.0, 75000.0, 76000.0, 73300.0, 72900.0, 75700.0, 74400.0, 74800.0, 72200.0, 69300.0, 75700.0, 72700.0, 75100.0, 74500.0, 71100.0, 71100.0, 70400.0, 75800.0, 72500.0, 75700.0, 69800.0, 72200.0, 74400.0, 73400.0, 77400.0, 74400.0, 75400.0]"
100,50,scramble_mutation_optimized,1,100,0.95,59786.67,3363.6,37.2,0.27,"[60200.0, 55200.0, 56500.0, 64800.0, 60700.0, 62800.0, 55900.0, 52600.0, 66800.0, 62800.0, 63500.0, 57700.0, 61700.0, 57700.0, 59000.0, 59900.0, 61700.0, 63200.0, 59500.0, 58300.0, 59100.0, 50700.0, 60600.0, 59600.0, 59600.0, 63200.0, 58000.0, 61600.0, 60800.0, 59900.0]"
100,50,scramble_mutation_optimized,2,100,0.95,63950.0,3001.64,34.4,0.25,"[61100.0, 64200.0, 62600.0, 62700.0, 62900.0, 69200.0, 62100.0, 63100.0, 65900.0, 65600.0, 66300.0, 64900.0, 61300.0, 63300.0, 57900.0, 63400.0, 67600.0, 64900.0, 57900.0, 64600.0, 67900.0, 66900.0, 65000.0, 61000.0, 64800.0, 61600.0, 62000.0, 72300.0, 63300.0, 62200.0]"
100,50,scramble_mutation_optimized,3,100,0.95,66240.0,3933.75,34.07,0.27,"[68600.0, 69700.0, 62700.0, 68100.0, 68800.0, 70300.0, 63300.0, 66900.0, 66600.0, 61900.0, 65900.0, 61500.0, 63400.0, 64300.0, 60900.0, 64900.0, 61300.0, 59800.0, 58700.0, 62700.0, 71200.0, 67600.0, 72700.0, 68600.0, 73100.0, 65100.0, 71800.0, 70400.0, 69100.0, 67300.0]"
100,50,scramble_mutation_optimized,1,100,0.9,52790.0,4245.18,19.03,0.15,"[58000.0, 52800.0, 51100.0, 51200.0, 51500.0, 53700.0, 54200.0, 53400.0, 60100.0, 52300.0, 51300.0, 40200.0, 51500.0, 53800.0, 52500.0, 50700.0, 54600.0, 57000.0, 60300.0, 53700.0, 50000.0, 52200.0, 47900.0, 56900.0, 56700.0, 47100.0, 60300.0, 52800.0, 46600.0, 49300.0]"
100,50,scramble_mutation_optimized,2,100,0.9,57193.33,3753.21,18.1,0.13,"[61900.0, 60100.0, 61400.0, 58700.0, 54200.0, 57100.0, 62600.0, 58900.0, 55000.0, 56500.0, 53100.0, 60800.0, 55200.0, 51100.0, 51900.0, 60100.0, 56800.0, 58800.0, 58600.0, 55200.0, 56000.0, 57300.0, 61300.0, 58200.0, 64000.0, 55100.0, 61500.0, 51100.0, 55000.0, 48300.0]"
100,50,scramble_mutation_optimized,3,100,0.9,59303.33,3742.15,17.83,0.14,"[60500.0, 58700.0, 56500.0, 50700.0, 54700.0, 60400.0, 57300.0, 60600.0, 60100.0, 56400.0, 62300.0, 63600.0, 64500.0, 57300.0, 67600.0, 60800.0, 58400.0, 64200.0, 55500.0, 58600.0, 59800.0, 60600.0, 61300.0, 57200.0, 56500.0, 57300.0, 67200.0, 52900.0, 57400.0, 60200.0]"
100,50,scramble_mutation_optimized,1,200,0.99,67566.67,3619.05,81.73,0.6,"[61700.0, 67900.0, 65300.0, 68500.0, 63800.0, 69500.0, 66300.0, 63800.0, 70100.0, 65600.0, 66700.0, 62900.0, 74500.0, 71900.0, 69500.0, 62000.0, 66000.0, 64400.0, 70800.0, 68400.0, 68500.0, 70100.0, 68300.0, 66100.0, 69300.0, 76400.0, 64100.0, 63100.0, 73700.0, 67800.0]"
100,50,scramble_mutation_optimized,2,200,0.99,71773.33,3407.73,79.33,0.62,"[75100.0, 73900.0, 74600.0, 68200.0, 76100.0, 71500.0, 73500.0, 71100.0, 75700.0, 75100.0, 68500.0, 67500.0, 76000.0, 69700.0, 63700.0, 69300.0, 72800.0, 68500.0, 75700.0, 73200.0, 74600.0, 70400.0, 73300.0, 70000.0, 73900.0, 67700.0, 66100.0, 77500.0, 71400.0, 68600.0]"
